3alpha,7alpha,12beta-Trihydroxy-5beta-cholanate
Bile salt
3beta,6beta,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,7alpha,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,7beta,12beta-Trihydroxy-5beta-cholan-24-oic Acid
Allocholic acid
3alpha,7alpha,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
3beta,7alpha,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
3alpha,7beta,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
3beta,7beta,12beta-Trihydroxy-5alpha-cholan-24-oic Acid
(22R)-3alpha,7alpha,22-Trihydroxy-5beta-cholan-24-oic Acid
Haemulcholic acid
Phocaecholic acid
(23S)-3alpha,7alpha,23-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,9alpha,11beta-Trihydroxy-5beta-cholan-24-oic Acid
3beta,9alpha,11beta-Trihydroxy-5beta-cholan-24-oic Acid
Avicholic acid
3alpha,11alpha,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11alpha,15beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11alpha,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11beta,15beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11beta,12alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,15alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,11beta,12beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,16alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,15beta,18-Trihydroxy-5beta-cholan-24-oic Acid
Bitocholic acid
Cygnocholic acid
3alpha,7alpha,17alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7beta,14alpha-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7beta,17alpha-Trihydroxy-5beta-cholan-24-oic Acid
Alloavicholic acid
1beta,3alpha,7beta-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,5beta,7beta-Trihydroxycholan-24-oic Acid
3alpha,7beta,21chi-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7beta,22chi-Trihydroxy-5beta-cholan-24-oic Acid
(23R)-3alpha,7beta,23-Trihydroxy-5beta-cholan-24-oic Acid
(23S)-3alpha,7beta,23-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,7alpha,19-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,19-Trihydroxy-5beta-cholan-24-oic Acid
(23S)-3alpha,12alpha,23-Trihydroxy-5beta-cholan-24-oic Acid
3alpha,12alpha,15beta-Trihydroxy-5beta-cholan-24-oic Acid
Vulpecholic acid
3alpha,4beta,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
3beta,4beta,7alpha-Trihydroxy-5beta-cholan-24-oic Acid
Crichetocholic acid
